source_root_id,target_root_id,source_node_id,target_node_id,source_title,target_title,source_influence_count,target_influence_count,shared_influence_count,structural_cosine,structural_jaccard
root_05,root_06,"MILLER D, 1983, MANAGE SCI","MATSUNO K, 2002, J MARKETING",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,260,261,260,0.998082,0.996169
root_04,root_05,"SHANE S, 2000, ACAD MANAGE REV","MILLER D, 1983, MANAGE SCI",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,260,260,259,0.996154,0.992337
root_05,root_07,"MILLER D, 1983, MANAGE SCI","LUMPKIN GT, 1996, ACAD MANAGE REV",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,260,263,260,0.99428,0.988593
root_04,root_06,"SHANE S, 2000, ACAD MANAGE REV","MATSUNO K, 2002, J MARKETING",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,260,261,259,0.994244,0.98855
root_06,root_07,"MATSUNO K, 2002, J MARKETING","LUMPKIN GT, 1996, ACAD MANAGE REV",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,261,263,260,0.992374,0.984848
root_04,root_08,"SHANE S, 2000, ACAD MANAGE REV","BARNEY J, 1991, J MANAGE",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,260,262,259,0.992344,0.984791
root_05,root_08,"MILLER D, 1983, MANAGE SCI","BARNEY J, 1991, J MANAGE",THE CORRELATES OF ENTREPRENEURSHIP IN THREE TYPES OF FIRMS,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,260,262,259,0.992344,0.984791
root_07,root_08,"LUMPKIN GT, 1996, ACAD MANAGE REV","BARNEY J, 1991, J MANAGE",CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,263,262,260,0.990478,0.981132
root_04,root_07,"SHANE S, 2000, ACAD MANAGE REV","LUMPKIN GT, 1996, ACAD MANAGE REV",THE PROMISE OF ENTREPRENEURSHIP AS A FIELD OF RESEARCH,CLARIFYING THE ENTREPRENEURIAL ORIENTATION CONSTRUCT AND LINKING IT TO PERFORMANCE,260,263,259,0.990456,0.981061
root_06,root_08,"MATSUNO K, 2002, J MARKETING","BARNEY J, 1991, J MANAGE",THE EFFECTS OF ENTREPRENEURIAL PROCLIVITY AND MARKET ORIENTATION ON BUSINESS PERFORMANCE,FIRM RESOURCES AND SUSTAINED COMPETITIVE ADVANTAGE,261,262,259,0.990442,0.981061
