branch_id,node_id,ToS,sap_rank,title,year,journal,source_title,has_article_metadata,token_count,parent_trunk_subtopic_id,parent_trunk_subtopic_label,parent_member_count,branch_to_trunk_score,citation_path_proximity,citation_path_distance,closest_trunk_node,text_similarity_to_trunk,shared_reference_similarity,branch_reference_count,trunk_reference_count
branch_01,"CRICK JM, 2025, INT J ENTREP BEHAV R",branch_1,0,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,6,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.048644,0.0,,,0.138983,0.0,0,268
branch_01,"CRICK JM, 2025, INT J ENTREP BEHAV R",branch_1,0,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,6,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.031439,0.0,,,0.089825,0.0,0,511
branch_01,"CRICK JM, 2025, INT J ENTREP BEHAV R",branch_1,0,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,True,6,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.03145,0.0,,,0.089857,0.0,0,275
branch_02,"ROBLEDO S, 2022, J SCIENTOMETR RES",branch_1,0,WORD OF MOUTH MARKETING: A SCIENTOMETRIC ANALYSIS,2022.0,JOURNAL OF SCIENTOMETRIC RESEARCH,J SCIENTOMETR RES,True,4,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.03941,0.0,,,0.112599,0.0,0,268
branch_02,"ROBLEDO S, 2022, J SCIENTOMETR RES",branch_1,0,WORD OF MOUTH MARKETING: A SCIENTOMETRIC ANALYSIS,2022.0,JOURNAL OF SCIENTOMETRIC RESEARCH,J SCIENTOMETR RES,True,4,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.026925,0.0,,,0.076929,0.0,0,511
branch_02,"ROBLEDO S, 2022, J SCIENTOMETR RES",branch_1,0,WORD OF MOUTH MARKETING: A SCIENTOMETRIC ANALYSIS,2022.0,JOURNAL OF SCIENTOMETRIC RESEARCH,J SCIENTOMETR RES,True,4,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.022779,0.0,,,0.065082,0.0,0,275
branch_03,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",branch_1,0,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,2022.0,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,10,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.08822,0.0,,,0.252057,0.0,0,268
branch_03,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",branch_1,0,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,2022.0,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,10,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.108628,0.0,,,0.310364,0.0,0,511
branch_03,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",branch_1,0,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,2022.0,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,True,10,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.105766,0.0,,,0.302187,0.0,0,275
branch_04,"WALES WJ, 2021, J BUS RES",branch_1,0,THE STATUS QUO OF RESEARCH ON ENTREPRENEURIAL ORIENTATION: CONVERSATIONAL LANDMARKS AND THEORETICAL SCAFFOLDING,2021.0,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,8,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.027453,0.0,,,0.078436,0.0,0,268
branch_04,"WALES WJ, 2021, J BUS RES",branch_1,0,THE STATUS QUO OF RESEARCH ON ENTREPRENEURIAL ORIENTATION: CONVERSATIONAL LANDMARKS AND THEORETICAL SCAFFOLDING,2021.0,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,8,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.019015,0.0,,,0.054327,0.0,0,511
branch_04,"WALES WJ, 2021, J BUS RES",branch_1,0,THE STATUS QUO OF RESEARCH ON ENTREPRENEURIAL ORIENTATION: CONVERSATIONAL LANDMARKS AND THEORETICAL SCAFFOLDING,2021.0,JOURNAL OF BUSINESS RESEARCH,J BUS RES,True,8,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.024157,0.0,,,0.069019,0.0,0,275
branch_05,"ALAREENI B, 2025, J STRATEG MARK",branch_1,0,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,2025.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,4,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.074734,0.0,,,0.213525,0.0,0,268
branch_05,"ALAREENI B, 2025, J STRATEG MARK",branch_1,0,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,2025.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,4,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.047219,0.0,,,0.134911,0.0,0,511
branch_05,"ALAREENI B, 2025, J STRATEG MARK",branch_1,0,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,2025.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,True,4,trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,3,0.03465,0.0,,,0.099,0.0,0,275
branch_06,"ARLI D, 2018, IND MARKET MANAG",branch_1,0,"RELATIONAL SELLING: PAST, PRESENT AND FUTURE",2018.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,5,trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,6,0.017293,0.0,,,0.04941,0.0,0,268
branch_06,"ARLI D, 2018, IND MARKET MANAG",branch_1,0,"RELATIONAL SELLING: PAST, PRESENT AND FUTURE",2018.0,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,True,5,trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,7,0.004227,0.0,,,0.012077,0.0,0,511
